,"(x0, x_t0)",success_no_reg,success_reg_derivative,success_reg_derivative_unstable_fp
0,"(-0.022155865644354587, 0.07921831372675273)",False,False,True
0,"(0.1917148469443266, -0.055857608511088966)",False,True,False
0,"(-0.053211609012735576, -0.08757651671548068)",False,False,False
0,"(0.12829457606953135, -0.4336194018063563)",False,True,False
0,"(0.5356805482670599, 0.20609734448468459)",False,True,True
0,"(0.13581188953940684, 0.3259474062428253)",False,True,False
0,"(-0.2465992121941705, 0.1777942407284546)",False,False,True
0,"(0.4593436997883659, 0.051429108696631816)",False,False,True
0,"(0.49307108271948263, 0.049617932674771895)",False,True,True
0,"(0.3951849691826221, 0.11122423225494811)",False,True,False
0,"(-0.05538839000862365, -0.000622869480221595)",False,True,True
0,"(0.29281813561853914, 0.06036326105378294)",False,True,False
0,"(0.06978272163872781, 0.09314916706164342)",False,True,True
0,"(0.5937645051422615, 0.07187096450626386)",False,True,False
0,"(-0.0754947246360921, -0.11611444983189195)",False,True,False
0,"(-0.177948653850042, 0.022733265145208414)",False,False,False
0,"(-0.3758579672835074, -0.014899224964903604)",False,False,True
0,"(0.17828334507014976, -0.08895239386787744)",False,False,False
0,"(-0.19336873803379134, 0.18823086189280455)",False,True,True
0,"(-0.13955993115852877, -0.16169685635411463)",False,True,False
0,"(-0.465190209448908, -0.16399224695257475)",False,True,True
0,"(-0.1787650885521152, -0.05676370931458373)",False,True,True
0,"(0.07521338050006793, -0.16621356730891695)",False,False,False
0,"(-0.4830797226485696, -0.33029743143414203)",False,True,False
0,"(-0.0524929230398751, -0.17571276379005552)",False,False,True
0,"(-0.2369596432536966, 0.4273320635953597)",False,True,True
0,"(-0.1627915894515664, -0.12452624324456744)",False,True,True
0,"(-0.023208499373547284, 0.3509275216807702)",False,True,False
0,"(-0.018646222947817953, 0.15772708885544431)",False,True,True
0,"(-0.03589279766309927, -0.16547074485365132)",False,False,False
0,"(0.23644052969910473, 0.14373554825235202)",False,True,True
0,"(0.08571902610739306, 0.2553487366463237)",False,True,False
0,"(0.01928113900317726, -0.0032419891289679793)",False,False,True
0,"(0.26142704345805545, 0.11834589963162896)",False,True,True
0,"(-0.2772580282997678, 0.19637500746637407)",False,False,False
0,"(0.45695027259454535, -0.2999951271534486)",False,True,False
0,"(-0.013159436189389691, -0.23346125830843606)",False,False,True
0,"(-0.2911127360498647, -0.4944183297116461)",False,True,True
0,"(-0.0847591427669276, -0.06112262761854131)",False,True,False
0,"(-0.10470385197710562, -0.01773370238147308)",False,True,False
0,"(-0.06196248530086999, -0.013692645131613149)",False,False,False
0,"(-0.03217800034498863, -0.20860043781890789)",False,False,False
0,"(-0.11407776685682354, -0.1126213831233734)",False,False,False
0,"(-0.6448618116903478, -0.17936308886019742)",False,True,True
0,"(-0.2834656764622314, -0.24338413037020237)",False,True,False
0,"(-0.3148731819276097, -0.01024441247321884)",False,True,True
0,"(-0.434140139670356, -0.0043352374829519445)",False,True,True
0,"(-0.012479709218702135, 0.7086525234510185)",False,True,True
0,"(-0.4767456346005923, 0.0338852966373789)",False,True,False
0,"(-0.2702701608033777, -0.19280399505934062)",False,True,True
0,"(-0.029267467942161278, 0.048997154002344424)",False,False,False
0,"(-0.42379991244546356, -0.226230174375707)",False,True,True
0,"(-0.3477738299905858, -0.03838222828511591)",False,True,True
0,"(-0.2621250439358686, 0.08495816481322922)",False,True,False
0,"(0.296138244063392, -0.2895867807733254)",False,False,True
0,"(-0.2549601038764848, 0.016878975252139092)",False,False,True
0,"(0.6776003262665181, -0.5342553060216473)",False,True,True
0,"(0.21291588478048232, 0.08285006279151778)",False,True,True
0,"(-0.06756817095703244, -0.5018075326101837)",False,False,False
0,"(0.1676680874586637, 0.3637127697879245)",False,True,True
0,"(0.3305812940701412, 0.2963028176148789)",False,True,True
0,"(0.1248201585093428, 0.21125318783927055)",False,False,False
0,"(-0.2805156865393732, 0.19329489279136877)",False,True,True
0,"(0.07339516825954047, 0.2862167366462816)",False,True,False
0,"(0.321937935723238, -0.08006128432044081)",False,True,True
0,"(-0.011382848424211259, 0.037531723634453076)",False,True,False
0,"(0.27230837581207945, 0.4755455608808642)",True,True,True
0,"(-0.11116224018697014, 0.17643167540668334)",False,False,False
0,"(-0.3087805701156895, -0.06868021145673381)",False,False,True
0,"(-0.5207022427641965, 0.027015492260349987)",False,False,True
0,"(0.2132251013943896, -0.09335143178073459)",False,False,False
0,"(-0.22025453353657778, 0.43984355472628556)",False,False,False
0,"(0.10871192387192939, -0.40056368806615716)",False,False,True
0,"(-0.14335163778686955, -0.0363238622908571)",False,False,False
0,"(0.1597964426450459, 0.5631620447430542)",False,True,True
0,"(0.014145337873347883, -0.6012723071103142)",False,True,False
0,"(0.12564516879028217, -0.22640366257217673)",False,True,True
0,"(0.25625541420392456, 0.0023669330474836827)",False,False,True
0,"(-0.3314444004008184, -0.20334833530101626)",False,True,True
0,"(-0.06734703794927842, -0.18196895549381917)",False,False,False
0,"(-0.10408185443863044, 0.1782126555964519)",False,False,True
0,"(-0.09859478845469105, 0.05051066550742636)",False,True,False
0,"(-0.37647155539062194, -0.10318024980023748)",False,False,True
0,"(0.18237776606307096, 0.02715655487851762)",False,True,True
0,"(-0.20220263198680577, -0.19116266393107373)",False,True,True
0,"(-0.129020168840289, -0.1389710955203346)",False,True,True
0,"(-0.3856055645826092, -0.30574613866749323)",False,True,False
0,"(-0.43773540431576674, 0.18726009764975718)",False,True,False
0,"(0.22597313454784643, 0.05213873119681062)",False,False,True
0,"(-0.22163527172348124, -0.3724698520070124)",False,True,True
0,"(0.04978256746078265, 0.14934566469659064)",False,False,True
0,"(0.17283635704200825, -0.14126623891388781)",False,False,False
0,"(-0.24964083048025643, 0.18184328565813151)",False,False,False
0,"(-0.014205418585153805, 0.00991379589374616)",False,False,True
0,"(0.3003905501726045, -0.3211899169904697)",False,True,True
0,"(0.07121247956671421, 0.3284417301127825)",False,True,True
0,"(-0.2047276247332328, -0.1653189222360709)",False,False,True
0,"(-0.48491739053659416, 0.08530265748004862)",False,True,False
0,"(0.15522417348982692, -0.04346700062557159)",False,True,False
