,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(0.011022233978360562, -0.09367604373300371)","(-1.9444776773452759, 0.38954031467437744)",,,True
0,"(-0.0077066750285224896, 0.03501917889766123)","(1.9535595178604126, -0.350549578666687)",,,False
0,"(-0.16776450112412447, -0.038231573631427984)","(0.2793697118759155, 2.421553373336792)",,,True
0,"(-0.053169141841832, -0.09270530964480916)","(-1.4350367784500122, 0.8313268423080444)",,,True
0,"(-0.1540680183065643, 0.010350380128837036)","(1.2936451435089111, 2.422447681427002)",,,True
0,"(0.01879571683239786, -0.014439152457307492)","(-0.595137357711792, -2.5233426094055176)",,,False
0,"(-0.24981530565781374, 0.010013323925153743)","(1.31929612159729, 2.3899497985839844)",,,True
0,"(-0.038459741459411306, 0.07847326229904295)","(1.9765994548797607, -0.2889668047428131)",,,False
0,"(0.024104411310258724, -0.039177147102472915)","(-0.5617590546607971, -0.7780571579933167)",,,False
0,"(-0.06415807124756388, -0.20062165684597255)","(-1.649865746498108, 0.6908754706382751)",,,True
0,"(0.2406662991162754, 0.04744312489099845)","(-0.7868525981903076, -2.6695055961608887)",,,True
0,"(0.058468242024777, 0.09258318191676994)","(1.455246925354004, -0.8171215057373047)",,,True
0,"(-0.04095920899471908, -0.13226450139135953)","(-1.7050241231918335, 0.6491283774375916)",,,True
0,"(-0.07902902362585244, 0.12582881356166173)","(2.0029489994049072, -0.10406873375177383)",,,True
0,"(0.09723146859633341, 0.05304765696680461)","(0.3857758045196533, -1.7729241847991943)",,,True
0,"(-0.03264770537998743, -0.10784051556481965)","(-1.7158012390136719, 0.6436007618904114)",,,True
0,"(0.07657329082766233, 0.02761842918902432)","(0.03462474048137665, -2.141563892364502)",,,True
0,"(0.04276865609981795, 0.021092094970149425)","(0.40002959966659546, -1.7520694732666016)",,,True
0,"(0.003069999290945567, -0.14026323079878253)","(-1.8590600490570068, 0.514846682548523)",,,True
0,"(0.10146460812854166, 0.1609736682116567)","(1.4084104299545288, -0.8425555229187012)",,,True
0,"(-0.1390667455555739, 0.07244850601820346)","(1.9013288021087646, 0.8594982028007507)",,,True
0,"(-0.016096113440585074, -0.1955285426286416)","(-1.8070433139801025, 0.5718744993209839)",,,True
0,"(-0.08115272837276027, -0.05190635213968273)","(-0.6537566184997559, 1.4905011653900146)",,,True
0,"(-0.05013805251415492, -0.021078971530436065)","(-0.42646926641464233, 1.7223358154296875)",,,True
0,"(-0.16653042707158328, 0.010672902524305578)","(1.3927534818649292, 2.2788586616516113)",,,True
0,"(-0.04478400386936856, 0.03998631060132485)","(1.9190082550048828, 0.7789027690887451)",,,True
0,"(0.04488990176836876, 0.025911991715127564)","(0.7330923080444336, -1.4091142416000366)",,,True
0,"(-0.007383757122446881, -0.15132243651535457)","(-1.8500896692276, 0.5307084321975708)",,,True
0,"(-0.07507083708982325, 0.04458437354397868)","(0.9885746240615845, 2.6533474922180176)",,,False
0,"(0.08310637283690502, 0.018212428877348134)","(-0.004573524929583073, -2.175689697265625)",,,False
0,"(0.03541753779648243, 0.21208234893470013)","(1.7572094202041626, -0.6133373379707336)",,,True
0,"(-0.001388925511898607, -0.09468589277775566)","(-1.8811018466949463, 0.49373865127563477)",,,True
0,"(0.024121751799299106, 0.055434808669211105)","(1.580857753753662, -0.733128547668457)",,,False
0,"(-0.051636090586061736, 0.01969934579397695)","(-1.2701318264007568, 0.7543656229972839)",,,False
0,"(-0.039964438955409604, 0.032816605501252503)","(1.7726221084594727, 1.3868088722229004)",,,True
0,"(-0.12970920829712573, -0.059785259790459816)","(-0.12329433858394623, 2.049889087677002)",,,True
0,"(-0.053574498523481964, -0.01861233990667564)","(-0.05891503766179085, 2.113436222076416)",,,True
0,"(0.051304500339843684, -0.10054142046362449)","(-2.001634120941162, 0.12906678020954132)",,,True
