,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.732219887133927, -1.0242147803175787)","(0.058365751057863235, 0.03417692333459854)","(0.0, 0.0)",unstable,False
0,"(-0.41025645081690726, 0.7365377706616026)","(-0.03977232426404953, -0.029982293024659157)","(0.0, 0.0)",unstable,False
0,"(-0.6116814242578175, 0.712664873780117)","(-0.03662297874689102, -0.025041978806257248)","(0.0, 0.0)",unstable,False
0,"(0.6665766373553018, 0.8025409899782016)","(-0.03127612546086311, -0.010452556423842907)","(0.0, 0.0)",unstable,False
0,"(0.11877151356297172, -1.5983714840202392)","(1.222459077835083, -0.9810962677001953)",,,True
0,"(-0.29127403876246394, 0.31040791114493366)","(-0.006234498228877783, -0.0073761967942118645)","(0.0, 0.0)",unstable,False
0,"(0.40732885939743163, -0.45298809463792006)","(0.023840371519327164, 0.021626895293593407)","(0.0, 0.0)",unstable,False
0,"(-0.8563752911062934, -0.3370446009094178)","(-1.2443625926971436, -2.358412265777588)",,,False
0,"(-0.006301046508061889, 1.2277864827574827)","(-0.0648605078458786, -0.05585034564137459)","(0.0, 0.0)",unstable,False
0,"(0.5941324258101001, 1.3396328818938699)","(-0.10571829974651337, -0.07536162436008453)",,,False
0,"(-0.6779842405295718, -1.1615518103968152)","(0.06305374205112457, 0.033631764352321625)","(0.0, 0.0)",unstable,False
0,"(0.9383821485224839, -2.894143886924817)","(1.7877719402313232, -0.5895267724990845)",,,True
0,"(0.6679909993258978, 0.3069722416362052)","(1.8786159753799438, 0.9864447712898254)",,,True
0,"(-0.9694436714667377, 1.0915105424693379)","(-1.4338022470474243, -0.257454514503479)",,,False
0,"(-0.37825308895484916, -1.963484349202606)","(0.9125851392745972, -1.2489980459213257)",,,True
0,"(-3.2082729506681016, 0.2567142103379492)","(2.01299786567688, 0.03096267580986023)",,,True
0,"(0.9647001764498507, 1.1810070152236125)","(-0.06497636437416077, -0.03987191990017891)","(0.0, 0.0)",unstable,False
0,"(-1.8566336105625665, -0.1600402004386749)","(0.039229702204465866, 0.015456137247383595)","(0.0, 0.0)",unstable,False
0,"(0.7279361882238926, 1.7714030854675942)","(-0.528718113899231, 1.6433731317520142)",,,True
0,"(0.3727659472314295, -1.3893671019862472)","(1.3835761547088623, -0.8674772381782532)",,,True
0,"(0.06931049608291438, -1.6038904398710772)","(1.1932106018066406, -1.009499192237854)",,,True
0,"(0.18501760311816376, 0.1941042184735284)","(-0.007111559621989727, -0.0028074560686945915)","(0.0, 0.0)",unstable,False
0,"(0.5082052887746944, -0.47455982940425334)","(0.021158704534173012, 0.019033942371606827)","(0.0, 0.0)",unstable,False
0,"(-0.5879693429798845, -1.0131901240836616)","(0.033256519585847855, 0.02186562493443489)","(0.0, 0.0)",unstable,False
0,"(-0.62635877322276, 0.9773679494193518)","(-0.06956498324871063, -0.06275304406881332)","(0.0, 0.0)",unstable,False
0,"(-0.2144765305135367, 1.3280362548612137)","(-1.2603994607925415, 0.9556132555007935)",,,True
0,"(0.19241173192246863, -0.04879568432089749)","(0.006552395410835743, 0.006339464336633682)","(0.0, 0.0)",unstable,False
0,"(0.4318713432799478, 0.07335244665310475)","(1.992505669593811, -0.10982389748096466)",,,True
0,"(-0.6684881985894053, 1.0978246531651368)","(-0.1459922343492508, -0.6009992361068726)",,,False
0,"(0.31513377181226526, -1.6159087872963058)","(1.363768458366394, -0.8807460069656372)",,,True
0,"(-0.5492942719391731, -0.6326961676135247)","(0.01753791607916355, -0.0012925369665026665)","(0.0, 0.0)",unstable,False
0,"(-1.304590374994374, -0.2595085825375878)","(-0.7860761880874634, -2.566771984100342)",,,False
0,"(-0.6150954959160654, 0.3813721058770584)","(-0.03835548833012581, -0.06052463501691818)","(0.0, 0.0)",unstable,False
