,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.8049909328928948, 2.213791854401905)","(-0.00014421940431930125, 2.0002005100250244)","(0.0, 2.0)",stable,True
0,"(0.4821561973260824, 2.6168100959725016)","(-0.006797677371650934, -0.006212902255356312)","(0.0, 0.0)",unstable,False
0,"(-0.9822688669366985, 1.6864301008088816)","(-2.3090839022188447e-05, 1.9996535778045654)","(0.0, 2.0)",stable,True
0,"(-0.6908207375857689, 1.9002171910493995)","(-0.00010493993613636121, 1.9998598098754883)","(0.0, 2.0)",stable,True
0,"(0.26206130407221234, 0.9205864886216426)","(-0.000284343957901001, 1.999842643737793)","(0.0, 2.0)",stable,True
0,"(0.061628024802206936, 1.3274927091511048)","(-0.00014193654351402074, 2.000166654586792)","(0.0, 2.0)",stable,True
0,"(-0.6618679519071168, 1.9769789667370352)","(-9.824037260841578e-05, 2.0000383853912354)","(0.0, 2.0)",stable,True
0,"(0.30997950684347253, 1.7134480252659574)","(0.0004968345165252686, 1.9990739822387695)","(0.0, 2.0)",stable,True
0,"(0.5130520963628797, 2.635337161367119)","(-0.0008777856710366905, 1.999314546585083)","(0.0, 2.0)",stable,True
0,"(-0.3413644715811703, 1.6498399648893636)","(-0.0003178238985128701, 1.9993118047714233)","(0.0, 2.0)",stable,True
0,"(0.7249679275280909, 2.502852069312285)","(-0.0015620589256286621, 1.9995777606964111)","(0.0, 2.0)",stable,True
0,"(0.7644984717891037, 1.9379075587462506)","(0.00033196210279129446, 1.9998867511749268)","(0.0, 2.0)",stable,True
0,"(0.5709262605744563, 2.070667734011709)","(-0.0004362344625405967, 1.9998044967651367)","(0.0, 2.0)",stable,True
0,"(-0.5235478697817557, 2.465051241796696)","(-0.000903785228729248, 2.0004353523254395)","(0.0, 2.0)",stable,True
0,"(-0.8727108364979008, 2.096295598370818)","(-0.0016467571258544922, 1.9997494220733643)","(0.0, 2.0)",stable,True
0,"(-0.08580824863981724, 2.096741161035244)","(-0.00010604113049339503, 2.000082492828369)","(0.0, 2.0)",stable,True
0,"(0.22859556498268033, 2.267296050360119)","(0.0009514540433883667, 2.0004055500030518)","(0.0, 2.0)",stable,True
0,"(0.7884888562668313, 1.8049750115331382)","(0.0002338886260986328, 1.9999268054962158)","(0.0, 2.0)",stable,True
0,"(0.21162532344726073, 2.9668790023448794)","(0.005800008773803711, 2.011725664138794)","(0.0, 2.0)",stable,True
0,"(0.5715258946059282, 1.8582853543421343)","(0.0002064943255390972, 2.0001797676086426)","(0.0, 2.0)",stable,True
0,"(-0.45154793161247414, 1.719956299611016)","(0.00024169086827896535, 2.0002827644348145)","(0.0, 2.0)",stable,True
0,"(0.1503813585268369, 1.22713967965251)","(0.0004707664193119854, 1.9996840953826904)","(0.0, 2.0)",stable,True
0,"(-0.38547454949117366, 2.5678047746696073)","(-0.0010958730708807707, 2.0015599727630615)","(0.0, 2.0)",stable,True
0,"(0.5122575451032098, 2.325536296036578)","(-0.00032161473063752055, 1.9998804330825806)","(0.0, 2.0)",stable,True
0,"(0.5911695542881403, 2.203266593594088)","(8.81433516042307e-05, 1.9998483657836914)","(0.0, 2.0)",stable,True
0,"(0.4493763464247423, 2.6612870116312117)","(0.005793362855911255, 0.0071086883544921875)","(0.0, 0.0)",unstable,False
0,"(0.7917788966450368, 1.2971212867385478)","(4.539489600574598e-05, 2.000011682510376)","(0.0, 2.0)",stable,True
0,"(-0.18333521258659627, 1.9611181201632282)","(-1.048743706633104e-05, 1.999995231628418)","(0.0, 2.0)",stable,True
0,"(0.8049284320003555, 3.056476243503042)","(0.0035510659217834473, 2.0046546459198)","(0.0, 2.0)",stable,True
0,"(0.11892270683511345, 1.9747515847593733)","(-2.3506581783294678e-05, 2.0000016689300537)","(0.0, 2.0)",stable,True
0,"(-0.08318074142236354, 1.9948297950110185)","(0.00013117790513206273, 2.0000782012939453)","(0.0, 2.0)",stable,True
0,"(0.06932852738315962, 2.8647628712945084)","(-0.00031472742557525635, 1.999768853187561)","(0.0, 2.0)",stable,True
0,"(-0.12110049861123552, 1.4136261182871888)","(-1.917630470416043e-05, 2.000051259994507)","(0.0, 2.0)",stable,True
0,"(0.2654127932857373, 2.3249667132735325)","(-0.00012910962686873972, 1.9999042749404907)","(0.0, 2.0)",stable,True
0,"(-0.5465042871865657, 1.682970715108887)","(0.0013623476261273026, 2.0004496574401855)","(0.0, 2.0)",stable,True
0,"(-0.4304601106252215, 1.3201152060391166)","(0.002042716834694147, 2.003575086593628)","(0.0, 2.0)",stable,True
0,"(1.0140976950793066, 1.6452608344310118)","(0.9150203466415405, 1.059944987297058)","(1.0, 1.0)",unstable,False
0,"(0.5091811127258825, 1.3123184782238697)","(-8.651018288219348e-05, 2.0004639625549316)","(0.0, 2.0)",stable,True
0,"(0.8332753235959703, 2.2364788463927203)","(-0.008228754624724388, -0.008026838302612305)","(0.0, 0.0)",unstable,False
0,"(0.33861665111292777, 2.7854067691915456)","(0.00027561187744140625, 1.9992074966430664)","(0.0, 2.0)",stable,True
0,"(-0.7891499165261943, 1.977574475082708)","(-0.0006155848386697471, 1.9999587535858154)","(0.0, 2.0)",stable,True
0,"(0.42252921407776944, 2.067417315416772)","(0.0002565622271504253, 1.999842643737793)","(0.0, 2.0)",stable,True
0,"(0.36056941890606925, 2.0486009446068065)","(0.00176488165743649, 2.0014731884002686)","(0.0, 2.0)",stable,True
0,"(-0.40293270376667, 1.630317578445624)","(0.0008123397710733116, 1.9998605251312256)","(0.0, 2.0)",stable,True
0,"(-0.6387724775451747, 2.1480296779407424)","(0.0012540459865704179, 2.0005664825439453)","(0.0, 2.0)",stable,True
0,"(0.05458407003498459, 2.176409799732775)","(3.523379564285278e-05, 1.999880075454712)","(0.0, 2.0)",stable,True
0,"(0.5952922451240169, 2.2757240700226014)","(-0.00012055635306751356, 2.0004866123199463)","(0.0, 2.0)",stable,True
0,"(0.22578128801461506, 2.2897657344405253)","(-0.00019211768812965602, 1.9996769428253174)","(0.0, 2.0)",stable,True
0,"(-0.021231074323583076, 2.2830710029878816)","(-0.00012407339818309993, 2.0006673336029053)","(0.0, 2.0)",stable,True
0,"(-0.003934657221131277, 2.2022432933878644)","(3.437679333728738e-05, 2.0004403591156006)","(0.0, 2.0)",stable,True
0,"(2.1950090671071054, 0.2137918544019049)","(2.999788999557495, 0.00010444223880767822)","(3.0, 0.0)",stable,True
